Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,"LateAircraftDelay
",Oairname,OCity,OCountry,OLatitude,OLongitude,Dair,DCity,DCountry,DLatitude,DLongitude
2008,1,3,4,2015,2010,2158,2155,WN,3504,N436WN,103,105,91,3,5,JAX,BWI,663,5,7,0,,0,NA,NA,NA,NA,"NA
",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
2008,1,3,4,1500,1500,1602,1615,WN,640,N399WN,62,75,49,-13,0,JAX,FLL,318,5,8,0,,0,NA,NA,NA,NA,"NA
",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,26.072583,-80.15275
2008,1,3,4,646,645,752,755,WN,2189,N405WN,66,70,46,-3,1,JAX,FLL,318,13,7,0,,0,NA,NA,NA,NA,"NA
",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,26.072583,-80.15275
2008,1,3,4,1738,1730,1841,1840,WN,3948,N467WN,63,70,49,1,8,JAX,FLL,318,6,8,0,,0,NA,NA,NA,NA,"NA
",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Fort Lauderdale Hollywood Intl,Fort Lauderdale,United States,26.072583,-80.15275
2008,1,3,4,802,750,1001,955,WN,2272,N263WN,119,125,104,6,12,JAX,IND,688,7,8,0,,0,NA,NA,NA,NA,"NA
",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383
2008,1,3,4,821,820,953,945,WN,3604,N257WN,92,85,80,8,1,JAX,ORF,543,3,9,0,,0,NA,NA,NA,NA,"NA
",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Norfolk Intl,Norfolk,United States,36.894611,-76.201222
2008,1,3,4,712,700,926,915,WN,1232,N663SW,134,135,120,11,12,JAX,PHL,742,5,9,0,,0,NA,NA,NA,NA,"NA
",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Philadelphia Intl,Philadelphia,United States,39.871944,-75.241139
2008,1,3,4,958,900,1052,950,WN,1574,N791SW,54,50,36,62,58,JAX,TPA,180,4,14,0,,0,0,0,4,0,"58
",Jacksonville Intl,Jacksonville,United States,30.494056,-81.687861,Tampa Intl,Tampa,United States,27.975472,-82.53325
2008,1,3,4,1538,1445,1753,1710,WN,500,N799SW,75,85,60,43,53,LAS,ABQ,487,4,11,0,,0,15,0,0,0,"28
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Albuquerque International Sunport,Albuquerque,United States,35.0402222,-106.6091944
2008,1,3,4,2248,2125,102,2345,WN,890,N618WN,74,80,60,77,83,LAS,ABQ,487,4,10,0,,0,7,0,0,0,"70
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Albuquerque International Sunport,Albuquerque,United States,35.0402222,-106.6091944
2008,1,3,4,624,625,846,850,WN,1320,N456WN,82,85,61,-4,-1,LAS,ABQ,487,4,17,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Albuquerque International Sunport,Albuquerque,United States,35.0402222,-106.6091944
2008,1,3,4,1917,1915,2136,2140,WN,2457,N293,79,85,60,-4,2,LAS,ABQ,487,5,14,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Albuquerque International Sunport,Albuquerque,United States,35.0402222,-106.6091944
2008,1,3,4,1229,1155,1633,1555,WN,1079,N351SW,124,120,91,38,34,LAS,AMA,758,5,28,0,,0,3,0,4,0,"31
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Rick Husband Amarillo Intl,Amarillo,United States,35.219369,-101.705931
2008,1,3,4,2118,2015,144,50,WN,2021,N499WN,146,155,127,54,63,LAS,AUS,1090,5,14,0,,0,23,0,0,0,"31
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Austin Bergstrom Intl,Austin,United States,30.194528,-97.669889
2008,1,3,4,1739,1640,114,25,WN,1018,N245WN,275,285,253,49,59,LAS,BDL,2298,9,13,0,,0,19,0,0,0,"30
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Bradley Intl,Windsor Locks,United States,41.938889,-72.683222
2008,1,3,4,816,815,1339,1340,WN,249,N256WN,203,205,185,-1,1,LAS,BNA,1588,4,14,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Nashville Intl,Nashville,United States,36.124472,-86.678194
2008,1,3,4,1506,1440,2030,2010,WN,2032,N271WN,204,210,183,20,26,LAS,BNA,1588,6,15,0,,0,18,0,0,0,"2
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Nashville Intl,Nashville,United States,36.124472,-86.678194
2008,1,3,4,924,920,1209,1210,WN,71,N312SW,105,110,84,-1,4,LAS,BOI,520,3,18,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Boise Air Terminal,Boise,United States,43.564361,-116.222861
2008,1,3,4,1824,1715,117,25,WN,2383,N290WN,233,250,221,52,69,LAS,BUF,1987,2,10,0,,0,48,0,0,0,"4
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Buffalo Niagara Intl,Buffalo,United States,42.940525,-78.732167
2008,1,3,4,2118,2015,2224,2115,WN,219,N383SW,66,60,46,69,63,LAS,BUR,223,3,17,0,,0,17,0,6,0,"46
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Bob Hope,Burbank,United States,34.200667,-118.358667
2008,1,3,4,650,650,748,750,WN,670,N777QC,58,60,47,-2,0,LAS,BUR,223,3,8,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Bob Hope,Burbank,United States,34.200667,-118.358667
2008,1,3,4,2241,1910,2340,2010,WN,1072,N369SW,59,60,43,210,211,LAS,BUR,223,3,13,0,,0,114,0,0,0,"96
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Bob Hope,Burbank,United States,34.200667,-118.358667
2008,1,3,4,1100,1050,1157,1155,WN,1586,N293,57,65,46,2,10,LAS,BUR,223,2,9,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Bob Hope,Burbank,United States,34.200667,-118.358667
2008,1,3,4,1726,1630,1832,1740,WN,2284,N409WN,66,70,46,52,56,LAS,BUR,223,2,18,0,,0,1,0,0,0,"51
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Bob Hope,Burbank,United States,34.200667,-118.358667
2008,1,3,4,1229,1220,1342,1325,WN,2874,N695SW,73,65,47,17,9,LAS,BUR,223,2,24,0,,0,9,0,8,0,"0
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Bob Hope,Burbank,United States,34.200667,-118.358667
2008,1,3,4,908,845,1628,1610,WN,1774,N220WN,260,265,244,18,23,LAS,BWI,2106,6,10,0,,0,18,0,0,0,"0
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
2008,1,3,4,1248,1245,2009,2015,WN,3759,N463WN,261,270,243,-6,3,LAS,BWI,2106,4,14,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Baltimore Washington Intl,Baltimore,United States,39.175361,-76.668333
2008,1,3,4,1849,1740,121,30,WN,564,N455WN,212,230,195,51,69,LAS,CMH,1772,2,15,0,,0,10,0,0,0,"41
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Port Columbus Intl,Columbus,United States,39.997972,-82.891889
2008,1,3,4,701,700,941,955,WN,85,N688SW,100,115,84,-14,1,LAS,DEN,629,9,7,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Denver Intl,Denver,United States,39.861656,-104.673178
2008,1,3,4,2232,2115,108,5,WN,632,N203WN,96,110,77,63,77,LAS,DEN,629,6,13,0,,0,0,0,7,0,"56
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Denver Intl,Denver,United States,39.861656,-104.673178
2008,1,3,4,2025,1955,2301,2245,WN,908,N480WN,96,110,78,16,30,LAS,DEN,629,6,12,0,,0,7,0,0,0,"9
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Denver Intl,Denver,United States,39.861656,-104.673178
2008,1,3,4,1627,1600,1916,1900,WN,2907,N647SW,109,120,80,16,27,LAS,DEN,629,8,21,0,,0,2,0,0,0,"14
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Denver Intl,Denver,United States,39.861656,-104.673178
2008,1,3,4,1049,1040,1320,1320,WN,2280,N352SW,91,100,73,0,9,LAS,ELP,584,3,15,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,El Paso Intl,El Paso,United States,31.80725,-106.377583
2008,1,3,4,1725,1620,1940,1850,WN,2803,N660SW,135,150,116,50,65,LAS,GEG,806,4,15,0,,0,50,0,0,0,"0
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Spokane Intl,Spokane,United States,47.619861,-117.533833
2008,1,3,4,1150,1140,1644,1640,WN,1776,N408WN,174,180,147,4,10,LAS,HOU,1235,3,24,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,William P Hobby,Houston,United States,29.645419,-95.278889
2008,1,3,4,2051,2010,134,55,WN,3746,N321SW,163,165,150,39,41,LAS,HOU,1235,4,9,0,,0,17,0,0,0,"22
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,William P Hobby,Houston,United States,29.645419,-95.278889
2008,1,3,4,2255,1820,509,55,WN,1924,N761RR,194,215,176,254,275,LAS,IND,1591,9,9,0,,0,0,0,0,8,"246
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Indianapolis Intl,Indianapolis,United States,39.717331,-86.294383
2008,1,3,4,1602,1510,2357,2255,WN,3144,N272WN,295,285,269,62,52,LAS,ISP,2283,4,22,0,,0,13,0,10,0,"39
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Long Island Mac Arthur,Islip,United States,40.79525,-73.100222
2008,1,3,4,2207,2150,2306,2255,WN,135,N244WN,59,65,40,11,17,LAS,LAX,236,7,12,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Los Angeles Intl,Los Angeles,United States,33.942536,-118.408075
2008,1,3,4,701,645,802,745,WN,337,N488WN,61,60,42,17,16,LAS,LAX,236,7,12,0,,0,16,0,1,0,"0
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Los Angeles Intl,Los Angeles,United States,33.942536,-118.408075
2008,1,3,4,1254,1250,1404,1355,WN,784,N401WN,70,65,43,9,4,LAS,LAX,236,7,20,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Los Angeles Intl,Los Angeles,United States,33.942536,-118.408075
2008,1,3,4,1540,1525,1648,1630,WN,1061,N422WN,68,65,47,18,15,LAS,LAX,236,5,16,0,,0,10,0,3,0,"5
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Los Angeles Intl,Los Angeles,United States,33.942536,-118.408075
2008,1,3,4,1228,1200,1340,1310,WN,1928,N792SW,72,70,43,30,28,LAS,LAX,236,7,22,0,,0,0,0,2,0,"28
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Los Angeles Intl,Los Angeles,United States,33.942536,-118.408075
2008,1,3,4,2158,2120,2303,2225,WN,2896,N335SW,65,65,44,38,38,LAS,LAX,236,11,10,0,,0,13,0,0,0,"25
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Los Angeles Intl,Los Angeles,United States,33.942536,-118.408075
2008,1,3,4,1423,1420,1530,1525,WN,3917,N609SW,67,65,44,5,3,LAS,LAX,236,11,12,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Los Angeles Intl,Los Angeles,United States,33.942536,-118.408075
2008,1,3,4,859,850,1343,1345,WN,565,N787SA,164,175,148,-2,9,LAS,LIT,1295,4,12,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Adams Fld,Little Rock,United States,34.729444,-92.224306
2008,1,3,4,1226,1210,1721,1700,WN,213,N302SW,175,170,139,21,16,LAS,MCI,1140,4,32,0,,0,1,0,5,0,"15
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Kansas City Intl,Kansas City,United States,39.297606,-94.713905
2008,1,3,4,2003,1905,26,2350,WN,1004,N676SW,143,165,130,36,58,LAS,MCI,1140,5,8,0,,0,4,0,0,0,"32
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Kansas City Intl,Kansas City,United States,39.297606,-94.713905
2008,1,3,4,648,650,1123,1135,WN,2972,N634SW,155,165,137,-12,-2,LAS,MCI,1140,4,14,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Kansas City Intl,Kansas City,United States,39.297606,-94.713905
2008,1,3,4,1319,1300,2033,2025,WN,380,N444WN,254,265,234,8,19,LAS,MCO,2039,6,14,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Orlando Intl,Orlando,United States,28.429394,-81.308994
2008,1,3,4,648,645,1205,1210,WN,227,N723SW,197,205,182,-5,3,LAS,MDW,1521,5,10,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,1424,1415,1941,1945,WN,396,N407WN,197,210,177,-4,9,LAS,MDW,1521,8,12,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,814,755,1334,1320,WN,823,N725SW,200,205,181,14,19,LAS,MDW,1521,6,13,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,1708,1700,2214,2230,WN,1865,N745SW,186,210,169,-16,8,LAS,MDW,1521,6,11,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,1945,1815,52,2335,WN,2450,N405WN,187,200,168,77,90,LAS,MDW,1521,8,11,0,,0,13,0,0,0,"64
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,1354,1310,1907,1845,WN,3232,N201LV,193,215,177,22,44,LAS,MDW,1521,6,10,0,,0,4,0,0,0,"18
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Chicago Midway Intl,Chicago,United States,41.785972,-87.752417
2008,1,3,4,1030,1030,1545,1545,WN,762,N295WN,195,195,174,0,0,LAS,MSY,1501,3,18,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Louis Armstrong New Orleans Intl,New Orleans,United States,29.993389,-90.258028
2008,1,3,4,1108,1110,1244,1240,WN,125,N782SA,96,90,80,4,-2,LAS,OAK,407,4,12,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Metropolitan Oakland Intl,Oakland,United States,37.721278,-122.220722
2008,1,3,4,1354,1345,1525,1520,WN,127,N784SW,91,95,74,5,9,LAS,OAK,407,4,13,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Metropolitan Oakland Intl,Oakland,United States,37.721278,-122.220722
2008,1,3,4,1251,1205,1425,1345,WN,237,N281WN,94,100,76,40,46,LAS,OAK,407,3,15,0,,0,2,0,0,0,"38
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Metropolitan Oakland Intl,Oakland,United States,37.721278,-122.220722
2008,1,3,4,821,820,955,950,WN,864,N640SW,94,90,72,5,1,LAS,OAK,407,3,19,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Metropolitan Oakland Intl,Oakland,United States,37.721278,-122.220722
2008,1,3,4,2010,1900,2203,2030,WN,962,N378SW,113,90,77,93,70,LAS,OAK,407,28,8,0,,0,45,0,23,0,"25
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Metropolitan Oakland Intl,Oakland,United States,37.721278,-122.220722
2008,1,3,4,935,925,1106,1055,WN,1258,N774SW,91,90,71,11,10,LAS,OAK,407,3,17,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Metropolitan Oakland Intl,Oakland,United States,37.721278,-122.220722
2008,1,3,4,2035,2020,2209,2150,WN,3135,N695SW,94,90,81,19,15,LAS,OAK,407,3,10,0,,0,15,0,4,0,"0
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Metropolitan Oakland Intl,Oakland,United States,37.721278,-122.220722
2008,1,3,4,1152,1145,1616,1605,WN,86,N627SW,144,140,116,11,7,LAS,OKC,987,4,24,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Will Rogers World,Oklahoma City,United States,35.393089,-97.600733
2008,1,3,4,2049,1920,106,2355,WN,875,N217JC,137,155,125,71,89,LAS,OMA,1099,2,10,0,,0,32,0,0,0,"39
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Eppley Afld,Omaha,United States,41.303167,-95.894069
2008,1,3,4,1613,1610,1721,1705,WN,187,N690SW,68,55,38,16,3,LAS,ONT,197,4,26,0,,0,0,0,16,0,"0
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Ontario Intl,Ontario,United States,34.056,-117.601194
2008,1,3,4,655,655,742,750,WN,731,N244WN,47,55,35,-8,0,LAS,ONT,197,4,8,0,,0,NA,NA,NA,NA,"NA
",Mc Carran Intl,Las Vegas,United States,36.080056,-115.15225,Ontario Intl,Ontario,United States,34.056,-117.601194
